AvgTone,MentionDocTone,GKG_Tone,Source
2.4390243902439,2.4390243902439,2.31990231990232,Local_Source
2.97619047619048,2.97619047619048,3.03030303030303,Local_Source
1.77619893428064,1.77619893428064,1.75131348511384,Local_Source
0.8174386920981,0.8174386920981,0.815217391304348,Local_Source
-1.1627906976744198,-1.09717868338558,-0.923076923076923,Western_Source
-2.0460358056266,-2.0460358056266,-2.0,Local_Source
2.7210884353741496,2.7210884353741496,2.68456375838926,Local_Source
5.57103064066852,5.57103064066852,5.60224089635854,Local_Source
-0.28735632183908,-0.28735632183908,0.0,Local_Source
2.8985507246376803,2.9197080291970803,2.98507462686567,Local_Source
-0.26109660574412,-0.26109660574412,-0.25974025974026,Local_Source
-2.91767974991316,-2.91767974991316,-2.82986703034436,Western_Source
2.8673835125448,2.8673835125448,2.88288288288288,Local_Source
2.43277848911652,2.43277848911652,2.31990231990232,Local_Source
-4.41361916771753,-3.9580908032596,-3.37457817772778,Western_Source
-6.581532416502942,-6.5913370998116685,-6.15808823529412,Western_Source
1.7811704834605602,1.7811704834605602,1.76544766708701,Local_Source
2.2260273972602795,2.2260273972602795,2.19594594594595,Local_Source
0.7017543859649101,0.7017543859649101,0.711743772241993,Local_Source
-4.846938775510202,-4.846938775510202,-4.66666666666667,Western_Source
3.3333333333333304,3.3333333333333304,3.35195530726257,Local_Source
-0.7905138339920931,-0.7905138339920931,-0.4,Local_Source
1.76991150442478,1.76991150442478,1.67084377610693,Western_Source
1.8072289156626495,1.8072289156626495,1.61527165932452,Local_Source
-1.29124820659972,-1.29124820659972,-1.14285714285714,Local_Source
-5.05494505494505,-5.05494505494505,-4.67706013363029,Local_Source
3.33333333333334,3.33333333333334,3.23624595469256,Local_Source
-0.94240837696335,-0.94240837696335,-0.919305413687435,Western_Source
0.9602194787379992,0.9602194787379992,0.948509485094851,Local_Source
8.0,8.0,7.2992700729927,Local_Source
5.3475935828877095,5.3475935828877095,5.16795865633075,Local_Source
0.9602194787379992,0.9602194787379992,0.948509485094851,Local_Source
1.09090909090909,1.09090909090909,1.08695652173913,Local_Source
0.9602194787379992,0.9602194787379992,0.948509485094851,Local_Source
0.481054892819595,0.5586592178770999,0.543478260869565,Chinese_Source
1.66320166320166,1.66320166320166,1.69491525423729,Chinese_Source
0.0,0.0,0.0,Western_Source
0.0,0.0,0.0,Western_Source
4.77815699658703,4.82758620689655,4.9469964664311,Local_Source
0.0,0.0,0.0,Local_Source
0.9602194787379992,0.9602194787379992,0.948509485094851,Local_Source
4.11764705882353,4.11764705882353,3.84615384615385,Local_Source
0.9602194787379992,0.9602194787379992,0.948509485094851,Local_Source
0.10515247108307,0.10515247108307,0.0,Local_Source
0.9602194787379992,0.9602194787379992,0.948509485094851,Local_Source
3.6036036036036,3.6036036036036,3.52941176470588,Local_Source
-2.06378986866791,-2.06378986866791,-2.01465201465201,Western_Source
0.9296148738379828,0.9296148738379828,0.935828877005347,Local_Source
3.20197044334976,3.20197044334976,3.15533980582524,Chinese_Source
4.353083434099149,3.67647058823529,3.59712230215827,Chinese_Source
2.1671826625387,2.1671826625387,1.8018018018018,Local_Source
-1.88087979664747,-1.45348837209302,-1.34099616858238,Western_Source
-0.333231781317982,-0.13550135501355,-0.12853470437018,Local_Source
-2.90323363672481,-2.36886632825719,-2.12765957446809,Western_Source
-0.45180722891566,-0.45180722891566,-0.445103857566766,Local_Source
10.134128166915099,10.134128166915099,9.9554234769688,Local_Source
-3.62903225806452,-3.6734693877551,-2.5,Local_Source
0.97196261682242,0.97196261682242,0.928571428571428,Local_Source
0.8955223880597,0.8955223880597,0.297619047619048,Local_Source
-3.97196261682243,-3.97196261682243,-3.75275938189845,Local_Source
1.72953275812742,3.3439490445859903,3.125,Local_Source
-3.4210526315789505,-3.4210526315789505,-3.1413612565445,Local_Source
3.5087719298245603,3.5087719298245603,3.03030303030303,Local_Source
0.802568218298561,0.802568218298561,0.778816199376947,Local_Source
0.9868421052631572,0.9868421052631572,0.99009900990099,Local_Source
-3.91949152542372,-5.526770293609671,-5.14579759862779,Western_Source
-0.15723270440252,-0.15723270440252,-0.151515151515151,Local_Source
2.08514335360556,2.08514335360556,1.99833472106578,Local_Source
-1.47058823529412,-1.47058823529412,-1.17647058823529,Local_Source
2.00601805416249,2.00601805416249,1.72562553925798,Local_Source
-6.91148393350175,-7.35294117647059,-7.1805702217529,Local_Source
4.17910447761194,2.45664739884393,2.24570673712021,Local_Source
-1.07784431137725,-1.07784431137725,-1.17647058823529,Local_Source
-3.06406685236769,-3.06406685236769,-2.86458333333333,Local_Source
-0.64935064935065,-0.64935064935065,-0.645161290322581,Local_Source
0.39370078740158,0.39370078740158,0.389863547758285,Local_Source
3.46129641283827,3.46129641283827,3.11968235961429,Local_Source
-3.06406685236769,-3.06406685236769,-2.86458333333333,Local_Source
4.44444444444444,6.30372492836676,6.30372492836676,Chinese_Source
-4.5979745533374805,-4.64716006884682,-4.45969125214408,Western_Source
-3.3498759305211,-3.6036036036036,-3.35820895522388,Western_Source
3.4324942791762,3.4324942791762,3.44827586206897,Local_Source
-6.60276890308839,-6.60276890308839,-6.32911392405063,Western_Source
-3.27102803738317,-3.7701974865350096,-3.55239786856128,Western_Source
-1.28397146124939,-1.41843971631205,-1.15740740740741,Western_Source
4.4350580781415,4.38184663536777,4.23173803526448,Chinese_Source
3.55191256830601,3.55191256830601,3.5230352303523,Local_Source
2.69662921348314,2.70935960591133,2.92682926829268,Local_Source
3.55191256830601,3.55191256830601,3.5230352303523,Local_Source
